Rank,Rating,Title,Votes
135,8.2,Cool Hand Luke (1967),"78,039"
136,8.1,"Lock, Stock and Two Smoking Barrels (1998)","253,694"
137,8.1,No Country for Old Men (2007),"366,127"
138,8.1,It Happened One Night (1934),"39,665"
139,8.1,Sin City (2005),"428,042"
140,8.1,Casino (1995),"198,796"
141,8.1,Strangers on a Train (1951),"58,647"
142,8.1,The Sixth Sense (1999),"436,807"
143,8.1,Platoon (1986),"186,267"
144,8.1,Jaws (1975),"244,720"
145,8.1,The Thing (1982),"160,761"
146,8.1,Butch Cassidy and the Sundance Kid (1969),"94,674"
147,8.1,Good Will Hunting (1997),"328,686"
148,8.1,Trainspotting (1996),"284,953"
149,8.1,The Wizard of Oz (1939),"175,687"
150,8.1,Kill Bill: Vol. 1 (2003),"434,400"
151,8.1,High Noon (1952),"52,373"
152,8.1,Hotel Rwanda (2004),"166,648"
153,8.1,The Avengers (2012),"509,376"
154,8.1,Warrior (2011),"170,274"
155,8.1,The Secret in Their Eyes (2009),"66,344"
156,8.1,Gone with the Wind (1939),"136,977"
157,8.1,Annie Hall (1977),"116,263"
158,8.1,The Grapes of Wrath (1940),"38,649"
159,8.1,My Neighbor Totoro (1988),"78,496"
160,8.1,Notorious (1946),"48,439"
161,8.1,V for Vendetta (2005),"463,173"
162,8.1,Finding Nemo (2003),"368,113"
163,8.1,Into the Wild (2007),"237,291"
164,8.1,Life of Brian (1979),"168,849"
165,8.1,Dial M for Murder (1954),"59,367"
166,8.1,How to Train Your Dragon (2010),"220,829"
167,8.1,The King's Speech (2010),"260,544"
168,8.1,There Will Be Blood (2007),"232,588"
169,8.1,The Night of the Hunter (1955),"40,937"
170,8.1,The Terminator (1984),"346,162"
171,8.1,Network (1976),"63,969"
172,8.1,Ben-Hur (1959),"98,232"
173,8.1,The Big Sleep (1946),"43,415"
174,8.1,Star Trek Into Darkness (2013),"87,352"
175,8.1,Million Dollar Baby (2004),"278,367"
176,8.1,Stand by Me (1986),"166,193"
177,8.1,Groundhog Day (1993),"259,183"
178,8.1,The Best Years of Our Lives (1946),"25,705"
